Item,Total Amount
Aarhus,871.56
Abou Dabi,59.86
Abu Dabi,5012.33
Abu Dhabi,247208.36
Ajaccio,4395.44
Ajaccio (Corsica),22591.86
Akureyri,15108.47
Alejandría,1194.36
Alessandria,4150.73
Alesund,95698.23
Alicante,98672.69
Alta,9175.98
Amburgo,83205.95
Amsterdam,11058.38
Ancona,144497.83
Ancone,578.22
Andalsnes,2207.5
Antigua,20924.54
Antilles Néerlandaises,80.19
Aqaba,56248.18
Argostoli,2641.48
Argostoli/Cefalonia,104764.72
Argostoli/Céphalonie,407.33
Arica,856.7
Arrecife,9126.84
Aruba,13306.3
Asdod,1526.97
Ashdod,1826.0
Atenas,1008.44
Atene,39860.37
Barbade,80.19
Barbados,19163.29
Barcellona,1018106.56
Barcelona,99304.42
Barcelone,5472.32
Bari,927655.05
Basseterre,14521.5
Belfast,3261.38
Belice,983.8
Belize City,22801.04
Bergen,58605.76
Bilbao,330.0
Bodrum,10201.04
Bodø,2207.5
Bora Bora,351.61
Boston,3266.69
Bremerhaven,7852.9
Bridgetown,14865.07
Brindisi,289212.6
Brisbane,351.61
Buenos Aires,4095.67
Busan,351.61
Buzios,230.0
Cabo Frío,467.96
Cadice,93110.34
Cadiz,2642.45
Cagliari,80174.16
Cairns,351.61
Callao (Lima),856.7
Canale di Panama transito,856.7
Cannes,182107.64
Cartagena,17724.51
Cartagena de Indias,2381.13
Casablanca,46018.63
Castries,14131.07
Catania,131538.03
Ceuta,9466.78
Chania,11318.06
Charlotte Amalie,32571.71
Charlottetown,3266.69
Cherbourg,646.97
Christchurch,351.61
Circolo Artico (navigazione),1198.06
Civitavecchia (Roma),1597754.97
Civitavecchia (Rome),6514.29
CocoCay,6012.2
Colombo,351.61
Colon,16151.29
Colón,2381.13
Copacabana,460.0
Copenhagen,141178.08
Copenhague,24796.22
Corea del Sud,351.61
Corfou,238.67
Corfù,257139.22
Corfú,6667.82
Cork,2003.31
Cornovaglia (Falmouth),333.33
Costa Maya,30505.17
Cozumel,64867.62
Croatia,103775.75
Croatie,238.67
Curacao (Antillas),1487.57
Curaçao,16158.04
Da Nang,351.61
Danimarca,2587.73
Dardanelli (passaggio),757.85
Doha,242998.04
Dominica,11607.51
Dover,2345.79
Dubai,636667.72
Dubaï,239.43
Dubrovnik,110552.48
Dubái,10880.33
Durban,1565.86
Efeso,28912.82
Eidfjord,19943.39
Esmirna,1145.78
Estambul,6234.27
Estocolmo,1424.0
Falmouth,1094.24
Ferrol,567.26
Flam,82005.76
Fort Lauderdale,5716.48
Fort-de-France,46770.06
Fredericia,2587.73
Freeport,566.33
Fuerteventura,6539.09
Funchal,26298.37
Gdynia,3521.35
Geiranger,34860.91
Genova,1783188.17
George Town (Grand Cayman),58943.24
Gibilterra,12156.56
Gibraltar,882.44
Glengarriff,829.5
Goteborg,386.36
Gothenburg,359.17
Gran Bretagna,11708.18
Grand Turk,308.33
Great Stirrup Cay,2630.71
Grecia,115708.77
Greece,374.0
Greenock,1685.29
Grenada,25609.16
Grenade,80.19
Groenlandia,3862.67
Grundarfjordur,3339.57
Guadalupa,74315.31
Guadeloupe,160.38
Génova,55138.24
Gênes,6573.91
Haifa,33863.88
Halifax,2820.44
Hamburgo,6674.95
Hammerfest,1174.0
Hellesylt,68964.98
Helsinki,29209.7
Heraklion,265139.31
Hobart,351.61
Holand,448.36
Holanda,878.0
Hong Kong (China),703.23
Hvar,320.0
IJmuiden,11104.45
Ibiza,344569.2
Ilhabela,1255.46
Ilheus,412.5
Ilulissat,1205.88
Invergordon,12262.52
Inverness/Loch Ness,427.22
Isafjordur,12800.89
Isola Catalina,1490.0
Isola Roatan,3481.39
Isola di Pasqua,703.23
Istanbul,124203.7
Izmir,23770.34
Jamaica,1094.24
Jamestown,505.09
Japan,703.23
Jeddah,61523.2
Katakolon,295346.28
Katákolon,4648.23
Keelung,351.61
Khasab,24688.14
Kiel,317137.45
King's Warf,2353.89
Kingstown,24181.71
Kirkwall,12865.46
